stable,team,jornada,season
83.46757044125465,Real Madrid,25,2024
85.50239234449761,Celta Vigo,25,2024
81.66666666666667,Osasuna,25,2024
83.34396597554492,Villarreal,25,2024
83.32801701222755,Real Betis,25,2024
85.28442317916002,Getafe,25,2024
86.13104731525785,Barcelona,25,2024
84.08160552897395,Cádiz,25,2024
86.98830409356725,Alavés,25,2024
83.20308346624137,Atlético Madrid,25,2024
86.67729930887826,Granada,25,2024
82.79372674109516,Almería,26,2024
85.971557682084,Rayo Vallecano,26,2024
79.32748538011695,Sevilla,26,2024
89.34077618288144,Valencia,26,2024
82.48006379585327,Real Sociedad,26,2024
88.83572567783094,Girona,26,2024
87.18766613503456,Las Palmas,26,2024
84.45507708665603,Mallorca,26,2024
86.24534821903244,Athletic Club,26,2024
82.52525252525253,Real Madrid,26,2024
84.88038277511961,Celta Vigo,26,2024
80.76820839978734,Osasuna,26,2024
82.9505582137161,Villarreal,26,2024
82.1451355661882,Real Betis,26,2024
84.774056353003715,Getafe,26,2024
85.46650717703349,Barcelona,26,2024
83.16719829877724,Cádiz,26,2024
86.57628920786816,Alavés,26,2024
82.5598086124402,Atlético Madrid,26,2024
86.0180754917597,Granada,26,2024
82.42424242424242,Almería,27,2024
85.52897395002658,Rayo Vallecano,27,2024
78.72939925571504,Sevilla,27,2024
88.9792663476874,Valencia,27,2024
81.40350877192982,Real Sociedad,27,2024
88.30409356725147,Girona,27,2024
86.46464646464646,Las Palmas,27,2024
83.54864433811802,Mallorca,27,2024
85.33758639021796,Athletic Club,27,2024
81.72647527910686,Real Madrid,27,2024
84.20786815523658,Celta Vigo,27,2024
80.05847953216374,Osasuna,27,2024
81.38755980861244,Villarreal,27,2024
81.59489633173844,Real Betis,27,2024
84.19723551302499,Getafe,27,2024
85.06778309409889,Barcelona,27,2024
82.93062200956938,Cádiz,27,2024
86.03668261562999,Alavés,27,2024
81.6294524189261,Atlético Madrid,27,2024
85.37745879851143,Granada,27,2024
81.69059011164275,Almería,28,2024
84.72355130249866,Rayo Vallecano,28,2024
78.08080808080808,Sevilla,28,2024
88.5778841041999,Valencia,28,2024
80.18607123870282,Real Sociedad,28,2024
87.61297182349814,Girona,28,2024
86.25730994152048,Las Palmas,28,2024
82.80170122275385,Mallorca,28,2024
84.14141414141415,Athletic Club,28,2024
80.82668793195108,Real Madrid,28,2024
83.84370015948963,Celta Vigo,28,2024
79.55608718766614,Osasuna,28,2024
80.349548112706,Villarreal,28,2024
80.71105794790006,Real Betis,28,2024
83.20574162679426,Getafe,28,2024
84.31286549707602,Barcelona,28,2024
82.4946836788942,Cádiz,28,2024
85.3987240829346,Alavés,28,2024
81.18819776714514,Atlético Madrid,28,2024
84.8989898989899,Granada,28,2024
80.68846358320043,Almería,29,2024
83.95268474215843,Rayo Vallecano,29,2024
77.57575757575758,Sevilla,29,2024
87.98245614035088,Valencia,29,2024
79.75279106858054,Real Sociedad,29,2024
86.86071238702817,Girona,29,2024
85.64327485380117,Las Palmas,29,2024
82.19829877724615,Mallorca,29,2024
83.43700159489633,Athletic Club,29,2024
80.11695906432749,Real Madrid,29,2024
82.91600212652844,Celta Vigo,29,2024
79.05635300372143,Osasuna,29,2024
79.6012759170654,Villarreal,29,2024
79.72089314194577,Real Betis,29,2024
82.4455077086656,Getafe,29,2024
83.26289207868155,Barcelona,29,2024
82.23418394471025,Cádiz,29,2024
85.14088250930357,Alavés,29,2024
80.14752791068581,Atlético Madrid,29,2024
83.89154704944178,Granada,29,2024
80.12493354598618,Almería,30,2024
83.29346092503988,Rayo Vallecano,30,2024
77.09197235513025,Sevilla,30,2024
87.50930356193514,Valencia,30,2024
79.00584795321637,Real Sociedad,30,2024
86.05263157894737,Girona,30,2024
84.85778841041999,Las Palmas,30,2024
80.98351940457204,Mallorca,30,2024
82.16640085061138,Athletic Club,30,2024
79.60925039872409,Real Madrid,30,2024
82.36310473152578,Celta Vigo,30,2024
78.2668793195109,Osasuna,30,2024
78.80648591174906,Villarreal,30,2024
79.10154173312068,Real Betis,30,2024
82.30462519936205,Getafe,30,2024
82.55847953216374,Barcelona,30,2024
81.77432216905902,Cádiz,30,2024
84.9016480595428,Alavés,30,2024
79.377990430622,Atlético Madrid,30,2024
83.24561403508773,Granada,30,2024
79.04837852206273,Almería,31,2024
82.58107389686337,Rayo Vallecano,31,2024
76.7304625199362,Sevilla,31,2024
87.06007442849548,Valencia,31,2024
78.6244019138756,Real Sociedad,31,2024
